id,lsl_ts,unix_ts,TP9,AF7,AF8,TP10,AUX
7229,853528.2226169114,1705745249.0,15.13671875,-693.359375,-338.8671875,-30.76171875,-456.54296875
7230,853528.2274564273,1705745249.0,23.4375,-888.671875,-405.76171875,-26.3671875,-358.3984375
7231,853528.2322959432,1705745249.0,5.859375,-1000.0,-517.578125,-46.38671875,-109.86328125
7232,853528.2371354591,1705745249.0,6.8359375,-999.0234375,-469.23828125,-42.96875,26.85546875
7233,853528.241974975,1705745249.0,14.6484375,-800.78125,-302.24609375,-33.69140625,-257.8125
7234,853528.2468144909,1705745249.0,33.69140625,-739.74609375,-278.80859375,-10.25390625,-276.3671875
7235,853528.2516540068,1705745249.0,41.015625,-985.3515625,-577.63671875,2.44140625,-95.21484375
7236,853528.2564935227,1705745249.0,-10.7421875,-968.75,-582.51953125,-41.9921875,13.18359375
7237,853528.2613330386,1705745249.0,-39.55078125,-577.1484375,-210.44921875,-72.265625,-222.16796875
7238,853528.2661725545,1705745249.0,-33.203125,-616.69921875,-328.61328125,-65.4296875,-317.87109375
7239,853528.2710120704,1705745249.0,-28.80859375,-928.22265625,-440.4296875,-64.453125,-431.640625
7240,853528.2758515863,1705745249.0,-20.99609375,-504.8828125,-167.48046875,-64.94140625,-219.23828125
7241,853528.2806911021,1705745249.0,-18.06640625,64.453125,78.61328125,-62.98828125,296.875
7242,853528.285530618,1705745249.0,-24.4140625,-285.64453125,-119.140625,-58.10546875,610.3515625
7243,853528.2903701339,1705745249.0,-12.20703125,-784.66796875,-302.734375,-56.640625,837.890625
7244,853528.2952096498,1705745249.0,-3.41796875,-326.66015625,-41.50390625,-63.96484375,527.83203125
7245,853528.2881655883,1705745249.0,-16.11328125,135.25390625,106.93359375,-57.12890625,302.24609375
7246,853528.2930973431,1705745249.0,-24.90234375,-355.46875,-134.765625,-48.33984375,517.578125
7247,853528.2980290978,1705745249.0,-42.96875,-634.765625,-224.609375,-72.265625,488.28125
7248,853528.3029608526,1705745249.0,-44.921875,-282.71484375,-67.87109375,-94.7265625,232.91015625
7249,853528.3078926074,1705745249.0,-78.125,-410.64453125,-179.19921875,-109.375,283.69140625
7250,853528.3128243622,1705745249.0,-140.625,-706.0546875,-272.94921875,-145.99609375,390.13671875
7251,853528.317756117,1705745249.0,-156.73828125,-493.1640625,-126.46484375,-166.50390625,434.5703125
7252,853528.3226878718,1705745249.0,-132.32421875,-37.59765625,21.484375,-156.25,292.48046875
7253,853528.3276196265,1705745249.0,-125.48828125,-153.80859375,-72.265625,-149.90234375,186.03515625
7254,853528.3325513813,1705745249.0,-183.10546875,-553.7109375,-199.70703125,-197.75390625,320.3125
7255,853528.3374831361,1705745249.0,-204.58984375,-721.19140625,-209.9609375,-215.33203125,401.85546875
7256,853528.3424148909,1705745249.0,-174.31640625,-598.14453125,-181.15234375,-192.3828125,310.05859375
7257,853528.3473466457,1705745249.0,-155.76171875,-731.4453125,-290.0390625,-184.5703125,90.33203125
7258,853528.3522784004,1705745249.0,-153.80859375,-709.47265625,-269.53125,-158.69140625,103.515625
7259,853528.3572101552,1705745249.0,-169.43359375,-312.01171875,-64.453125,-163.0859375,245.60546875
7260,853528.36214191,1705745249.0,-182.6171875,-199.70703125,-119.140625,-194.3359375,16.11328125
7261,853528.3670736648,1705745249.0,-153.80859375,-427.24609375,-242.1875,-177.734375,-95.21484375
7262,853528.3720054196,1705745249.0,-134.765625,-846.6796875,-480.46875,-141.11328125,359.375
7263,853528.3769371744,1705745249.0,-102.05078125,-959.47265625,-490.72265625,-99.609375,407.2265625
7264,853528.3818689291,1705745249.0,-76.66015625,-496.58203125,-184.5703125,-90.8203125,20.99609375
7265,853528.3630264292,1705745249.0,-77.1484375,-496.58203125,-334.9609375,-102.5390625,37.59765625
7266,853528.3660104667,1705745249.0,-69.82421875,-919.921875,-492.67578125,-95.21484375,163.57421875
7267,853528.3689945042,1705745249.0,-70.3125,-715.8203125,-250.9765625,-76.66015625,259.765625
7268,853528.3719785417,1705745249.0,-44.43359375,-674.31640625,-261.23046875,-51.26953125,-121.58203125
7269,853528.3749625792,1705745249.0,-25.87890625,-910.15625,-506.34765625,-51.7578125,-567.87109375
7270,853528.3779466167,1705745249.0,7.32421875,-1000.0,-579.58984375,-30.2734375,-698.2421875
7271,853528.3809306542,1705745249.0,27.34375,-891.11328125,-407.71484375,-7.8125,-837.40234375
7272,853528.3839146917,1705745249.0,7.8125,-819.82421875,-347.16796875,-20.01953125,-776.85546875
7273,853528.3868987293,1705745249.0,21.484375,-1000.0,-634.765625,-2.9296875,-677.734375
7274,853528.3898827668,1705745249.0,49.31640625,-806.640625,-547.36328125,21.97265625,-218.26171875
7275,853528.3928668043,1705745249.0,47.36328125,-277.83203125,-82.51953125,10.25390625,46.38671875
7276,853528.3958508418,1705745249.0,32.2265625,-153.3203125,-105.95703125,5.37109375,128.90625
7277,853528.3988348793,1705745249.0,46.875,-290.0390625,-143.5546875,22.4609375,349.609375
7278,853528.4018189168,1705745249.0,70.80078125,-443.84765625,-173.33984375,39.55078125,433.59375
7279,853528.4048029543,1705745249.0,67.87109375,-585.44921875,-246.09375,42.96875,368.65234375
7280,853528.4077869918,1705745249.0,68.359375,-541.50390625,-185.05859375,62.01171875,341.30859375
7281,853528.4107710293,1705745249.0,61.03515625,-732.91015625,-357.421875,69.3359375,590.33203125
7282,853528.4137550668,1705745249.0,56.15234375,-1000.0,-596.19140625,50.78125,734.86328125
7283,853528.4167391043,1705745249.0,50.78125,-616.2109375,-209.47265625,13.671875,240.234375
7284,853528.4197231418,1705745249.0,26.85546875,-218.75,-30.2734375,-3.41796875,46.875
7285,853528.4449650389,1705745249.0,39.0625,-370.60546875,-123.53515625,15.13671875,128.90625
7286,853528.4499350345,1705745249.0,59.5703125,-179.6875,-0.9765625,15.13671875,69.3359375
7287,853528.4549050301,1705745249.0,65.91796875,-92.7734375,3.90625,26.85546875,-24.90234375
7288,853528.4598750257,1705745249.0,80.078125,-370.60546875,-133.7890625,52.734375,5.859375
7289,853528.4648450213,1705745249.0,61.5234375,-561.03515625,-211.42578125,34.66796875,63.96484375
7290,853528.4698150168,1705745249.0,60.05859375,-520.99609375,-151.85546875,16.6015625,122.0703125
7291,853528.4747850124,1705745249.0,91.796875,-613.76953125,-199.70703125,31.25,125.9765625
7292,853528.479755008,1705745249.0,77.63671875,-838.8671875,-314.94140625,32.2265625,121.58203125
7293,853528.4847250036,1705745249.0,52.734375,-800.78125,-223.14453125,25.390625,98.6328125
7294,853528.4896949992,1705745249.0,51.26953125,-355.46875,-36.1328125,19.53125,-43.45703125
7295,853528.4946649948,1705745249.0,63.4765625,-192.3828125,20.01953125,23.4375,-77.1484375
7296,853528.4996349904,1705745249.0,59.5703125,-603.515625,-257.32421875,36.1328125,82.03125
7297,853528.5046049859,1705745249.0,50.29296875,-1000.0,-488.28125,44.921875,387.20703125
7298,853528.5095749815,1705745249.0,58.10546875,-546.38671875,-67.87109375,28.3203125,166.9921875
7299,853528.5145449771,1705745249.0,57.12890625,-245.1171875,-42.48046875,7.32421875,-63.4765625
7300,853528.5195149727,1705745249.0,61.03515625,-563.96484375,-235.3515625,13.18359375,-94.7265625
7301,853528.5244849683,1705745249.0,59.08203125,-551.7578125,-212.890625,26.3671875,-95.21484375
7302,853528.5294549639,1705745249.0,55.17578125,-510.25390625,-234.375,32.2265625,94.23828125
7303,853528.5344249594,1705745249.0,55.17578125,-697.265625,-227.05078125,17.08984375,24.4140625
7304,853528.539394955,1705745249.0,71.2890625,-901.85546875,-454.58984375,23.92578125,193.359375
7305,853528.5036013596,1705745249.0,80.56640625,-992.1875,-530.2734375,45.41015625,408.203125
7306,853528.5072649878,1705745249.0,56.640625,-487.79296875,-158.69140625,25.87890625,9.27734375
7307,853528.510928616,1705745249.0,53.22265625,-412.59765625,-219.23828125,11.71875,-82.03125
7308,853528.5145922443,1705745249.0,63.4765625,-776.85546875,-322.265625,21.97265625,40.0390625
7309,853528.5182558725,1705745249.0,58.10546875,-453.61328125,-166.50390625,20.5078125,-17.578125
7310,853528.5219195008,1705745249.0,32.2265625,-93.75,-39.0625,0.0,-21.97265625
7311,853528.525583129,1705745249.0,23.92578125,-365.72265625,-191.40625,-14.16015625,48.828125
7312,853528.5292467573,1705745249.0,27.83203125,-636.71875,-318.359375,-20.5078125,-25.390625
7313,853528.5329103855,1705745249.0,24.90234375,-430.17578125,-245.1171875,-17.08984375,-166.015625
7314,853528.5365740138,1705745249.0,32.71484375,-610.83984375,-265.13671875,7.32421875,-146.484375
7315,853528.540237642,1705745249.0,47.36328125,-929.19921875,-430.17578125,33.203125,21.97265625
7316,853528.5439012703,1705745249.0,42.96875,-937.5,-491.69921875,20.5078125,295.41015625
